City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
571,Moron,AR,-34.65,-58.62,60.01,84,78,1.01,broken clouds
572,General Roca,AR,-39.03,-67.58,64.24,26,52,11.23,broken clouds
573,Coos Bay,US,43.37,-124.22,77.0,73,0,8.01,clear sky
574,Salekhard,RU,66.53,66.6,15.75,97,100,11.59,snow
575,Bay Roberts,CA,47.6,-53.26,35.01,95,93,1.01,overcast clouds
576,Kargil,IN,34.57,76.1,28.98,80,23,5.23,few clouds
577,Sobolevo,RU,54.43,31.9,42.01,87,0,7.25,clear sky
578,Hun,LY,29.13,15.95,59.18,58,0,5.28,clear sky
579,Svetlyy,RU,54.67,20.13,48.0,85,100,1.99,overcast clouds
580,Kovvur,IN,17.02,81.73,72.79,75,86,3.51,overcast clouds
581,Tigre,AR,-34.43,-58.58,60.01,72,78,3.0,broken clouds
582,Pine Bluff,US,34.23,-92.0,53.01,97,100,6.2,overcast clouds
583,Skole,UA,49.04,23.51,42.01,95,100,15.01,overcast clouds
584,Iralaya,HN,15.0,-83.23,81.32,82,39,7.38,scattered clouds
585,Ugoofaaru,MV,5.67,73.0,82.44,72,24,5.59,few clouds
586,Pringsewu,ID,-5.36,104.97,73.6,90,77,2.8,broken clouds
587,Teahupoo,PF,-17.83,-149.27,75.0,94,47,17.0,light rain
588,Batagay-Alyta,RU,67.8,130.41,-0.2,83,98,3.0,overcast clouds
589,Lincoln,US,40.8,-96.67,45.16,57,81,4.63,broken clouds
590,Ouro Preto Do Oeste,BR,-10.75,-62.22,81.54,72,100,2.89,light rain
591,Tecoanapa,MX,16.52,-98.75,83.59,74,20,6.89,few clouds
592,Tsaratanana,MG,-16.78,47.65,71.82,60,16,8.32,few clouds
593,Wahiawa,US,21.5,-158.02,84.0,62,7,11.99,light rain
594,Lorengau,PG,-2.02,147.27,84.96,65,59,3.11,broken clouds
595,Coquimbo,CL,-29.95,-71.34,59.07,62,0,5.41,clear sky
596,Sungaipenuh,ID,-2.08,101.38,64.35,87,100,2.91,light rain
597,Benguela,AO,-12.58,13.41,76.5,77,100,7.49,light rain
598,Nalut,LY,30.33,10.85,56.1,54,0,12.91,clear sky
599,Abaete,BR,-19.16,-45.45,77.74,68,78,4.97,broken clouds
600,Falmouth,GB,50.15,-5.07,48.99,100,100,5.01,overcast clouds
601,Lakes Entrance,AU,-37.88,147.98,64.99,77,5,1.01,clear sky
602,Wagar,SD,16.15,36.2,79.07,56,0,11.14,clear sky
603,Havelock,US,34.88,-76.9,72.0,83,12,5.57,few clouds
604,Victoria,HK,22.29,114.16,75.99,72,100,1.99,overcast clouds
605,Ambon,ID,-3.7,128.18,82.99,93,98,1.01,overcast clouds
606,Nemuro,JP,43.32,145.57,53.11,74,100,22.3,light rain
607,Tadine,NC,-21.55,167.88,76.68,65,0,14.43,clear sky
608,Inirida,CO,3.87,-67.92,78.1,92,99,1.14,light rain
609,Gerash,IR,27.67,54.14,59.54,62,0,0.87,clear sky
610,Ballyshannon,IE,54.5,-8.18,44.01,88,71,3.0,broken clouds
611,Namatanai,PG,-3.67,152.43,84.54,68,100,2.75,overcast clouds
612,Aquiraz,BR,-3.9,-38.39,81.0,76,6,18.99,clear sky
613,Lira,UG,2.23,32.91,66.04,92,88,1.77,overcast clouds
614,Tilichiki,RU,60.47,166.1,23.79,88,0,6.17,clear sky
615,Mount Gambier,AU,-37.83,140.77,49.12,94,100,5.99,light rain
616,Mus,TR,39.0,41.75,47.62,59,55,2.28,broken clouds
617,Shenkursk,RU,62.11,42.9,41.25,92,29,6.76,scattered clouds
618,Kormilovka,RU,55.0,74.1,23.25,97,68,6.02,broken clouds
619,Kyren,RU,51.68,102.14,32.54,85,98,1.97,overcast clouds
620,Obodivka,UA,48.41,29.25,50.0,90,66,3.71,broken clouds
621,Okhotsk,RU,59.38,143.3,28.31,87,99,8.72,overcast clouds
622,Sorong,ID,-0.88,131.25,77.13,86,99,9.82,overcast clouds
623,Tera,NE,14.01,0.75,83.14,14,0,8.19,clear sky
624,Petrolina,BR,-9.4,-40.5,90.37,41,96,9.28,overcast clouds
625,Romny,UA,50.75,33.47,42.71,93,0,7.14,clear sky
626,Santa Rosa,PH,14.31,121.11,77.0,94,99,1.54,overcast clouds
627,Kankaanpaa,FI,61.8,22.42,48.0,97,100,9.1,overcast clouds
628,Bulgan,MN,48.81,103.53,32.95,74,20,3.29,few clouds
629,Hirara,JP,24.8,125.28,77.25,73,58,15.9,broken clouds
630,Warrnambool,AU,-38.38,142.48,60.01,86,26,1.99,scattered clouds
631,Maharajganj,IN,27.13,83.57,66.63,65,0,2.62,clear sky
632,Abeche,TD,13.83,20.83,82.56,23,36,7.87,scattered clouds
633,Partizanskoye,RU,55.5,94.39,31.5,90,14,14.67,few clouds
